VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LON
1157,327,Nantai,Japan,no data,2486,Stratovolcano,no data,36.76,139.48
1161,330,Negro, Cerro,Nicaragua,728,Cinder Cone,no data,12.51,-86.70
1163,331,Nemo Peak,Russia,no data,1018,Caldera,no data,49.57,154.81
1165,332,Nevis Peak,St. Kitts and Nevis,no data,985,Stratovolcano,no data,17.15,-62.58
1167,333,Newberry,United States,no data,2434,Shield,no data,43.72,-121.23
1169,334,Newer Volcanics Province,Australia,no data,1011,Shield,no data,-37.77,142.50
1171,335,Ngauruhoe,New Zealand,no data,1978,Stratovolcano,no data,-39.13,175.64
1173,336,Nikko-Shirane,Japan,no data,2578,Shield,no data,36.80,139.38
1175,337,Nipesotsu-Maruyama,Japan,no data,2013,Stratovolcano,no data,43.45,143.04
1177,338,Nisyros,Greece,no data,698,Stratovolcano,no data,36.59,27.16
1179,339,Nyambeni Hills,Kenya,no data,750,Shield,no data,0.23,37.87
1181,340,Nyamuragira,Democratic Republic of Congo,no data,3058,Shield,no data,-1.41,29.20
1183,341,Nyiragongo,Democratic Republic of Congo,no data,3470,Stratovolcano,no data,-1.52,29.25
1185,343,Ojos del Salado,Argentina, Chile,6887,Stratovolcano,no data,-27.12,-68.55
1187,344,Ojos del Salado,Argentina, Chile,6887,Stratovolcano,no data,-27.12,-68.55
1189,345,Okataina,New Zealand,no data,1111,Lava dome,no data,-38.12,176.50
1191,346,Okmok,United States,no data,1073,Shield,no data,53.43,-168.13
1195,348,Ol Doinyo Lengai,Tanzania,no data,2962,Stratovolcano,no data,-2.76,39.91
1197,349,Opala,Russia,no data,1776,Caldera,no data,52.54,157.34
1199,350,Oraefajokull,Iceland,no data,2119,Stratovolcano,no data,64.00,-16.65
1201,351,Oshima,Japan,no data,764,Stratovolcano,no data,34.72,139.40
1203,352,Pacaya,Guatemala,no data,2552,Complex,no data,14.38,-90.60
1205,353,Pagan,United States,no data,570,Stratovolcano,no data,18.13,145.80
1207,354,Pago,Papua New Guinea,no data,742,Caldera,no data,-5.58,150.52
1209,355,Papandayan,Indonesia,no data,2665,Stratovolcano,no data,-7.32,107.73
1211,356,Paricutin,Mexico,no data,3170,Cinder Cone,no data,19.50,-102.20
1213,357,Parinacota,Bolivia,no data,6348,Stratovolcano,no data,-18.17,-69.15
1215,358,Parinacota, Chile,no data,6348,Stratovolcano,no data,-18.17,-69.15
1217,359,Pauzhetka,Russia,no data,1070,Lava dome,no data,51.45,156.97
1219,360,Pavlof,United States,no data,2519,Stratovolcano,no data,55.42,-161.89
1221,361,Pavlof Sister,United States,no data,2142,Stratovolcano,no data,55.45,-161.84
1223,362,Pelee,France,no data,1397,Stratovolcano,no data,14.82,-61.17
1225,363,Peuet Sague,Indonesia,no data,2801,Complex,no data,4.91,96.33
1227,364,Pico,Portugal,no data,2351,Stratovolcano,no data,38.47,-28.40
1229,365,Pilas,Nicaragua,no data,1700,Stratovolcano,no data,11.54,-85.62
1231,366,Pinacate,Mexico,no data,1200,Cinder Cone,no data,31.77,-113.50
1233,367,Pinatubo,Philippines,no data,1486,Stratovolcano,no data,15.13,120.35
1235,368,Pisgah Lava Field,United States,no data,1495,Volcanic field,no data,34.75,-116.63
1237,369,Piton de la Fournaise,France,no data,2631,Shield,no data,-21.23,55.71
1245,373,Purace,Colombia,no data,4650,Stratovolcano,no data,2.32,-76.40
1247,374,Quill, The Netherlands,no data,601,Stratovolcano,no data,17.48,-62.96
1249,375,Rabaul,Papua New Guinea,no data,688,Shield,no data,-4.27,152.20
1251,376,Ragang,Philippines,no data,2815,Stratovolcano,no data,7.70,124.50
1253,377,Raikoke,Russia,no data,551,Stratovolcano,no data,48.29,153.25
1255,378,Rainier,United States,no data,4392,Stratovolcano,no data,46.85,-121.76
1257,379,Rajabasa,Indonesia,no data,1281,Stratovolcano,no data,-5.78,105.63
1259,380,Raoul,New Zealand,no data,516,Stratovolcano,no data,-29.27,-177.92
1261,381,Rasshua,Russia,no data,956,Stratovolcano,no data,47.77,153.02
1263,382,Raung,Indonesia,no data,3332,Stratovolcano,no data,-8.13,114.04
1265,383,Rausu,Japan,no data,1660,Stratovolcano,no data,44,145.13
1267,384,Redoubt,United States,no data,3108,Stratovolcano,no data,60.49,-152.74
1269,385,Reventador,Ecuador,no data,3562,Stratovolcano,no data,-0.08,-77.66
1271,386,Rincon de la Vieja,Costa Rica,no data,1916,Complex,no data,10.83,-85.32
1273,387,Roundtop,United States,no data,1871,Stratovolcano,no data,54.80,-163.59
1275,388,Ruapehu,New Zealand,no data,2797,Stratovolcano,no data,-39.28,175.57
1277,389,Rudakov,Russia,no data,542,Stratovolcano,no data,45.88,149.83
1279,390,Ruiz, Nevado del,Colombia,5321,Stratovolcano,no data,4.89,-75.32
1281,391,Rumble IV,New Zealand,no data,500,Submarine,no data,-36.13,178.05
1283,392,Saba,Netherlands,no data,887,Stratovolcano,no data,17.63,-63.23
1285,393,Sabancaya,Peru,no data,5967,Stratovolcano,no data,-15.78,-71.85
1287,394,Sakar,Papua New Guinea,no data,992,Stratovolcano,no data,-5.41,148.09
1289,395,Sakura-jima,Japan,no data,1117,Stratovolcano,no data,31.59,130.66
1291,396,Salak,Indonesia,no data,2211,Stratovolcano,no data,-6.72,106.73
1293,397,San Cristobal,Nicaragua,no data,1745,Stratovolcano,no data,12.70,-87.00
1295,398,San Salvador,El Salvador,no data,1893,Stratovolcano,no data,13.73,-89.29
1297,399,San Vicente,Cape Verde Islands,no data,697,Stratovolcano,no data,16.90,-25.00
1299,400,Sanford,United States,no data,4949,Shield,no data,62.22,-144.13
1301,401,Sangay,Ecuador,no data,5230,Stratovolcano,no data,-2.00,-78.34
1303,402,Santa Ana,El Salvador,no data,2381,Stratovolcano,no data,13.85,-89.63
1305,403,Santa Maria,Guatemala,no data,3772,Stratovolcano,no data,14.76,-91.55
1307,404,Santorini,Greece,no data,367,Shield,no data,36.40,25.40
1311,406,Savo,Solomon Islands,no data,485,Stratovolcano,no data,-9.13,159.82
1315,408,Semeru,Indonesia,no data,3676,Stratovolcano,no data,-8.11,112.92
1317,409,Semisopochnoi,United States,no data,1221,Stratovolcano,no data,51.93,179.58
1319,410,Sete Cidades,Portugal,no data,856,Stratovolcano,no data,37.87,-25.78
1321,411,Shasta,United States,no data,4317,Stratovolcano,no data,41.41,-122.19
1323,412,Sheveluch,Russia,no data,3283,Stratovolcano,no data,56.65,161.36
1325,413,Shikotsu,Japan,no data,1320,Caldera,no data,42.69,141.38
1327,414,Shiretoko-Iwo-zan,Japan,no data,1563,Stratovolcano,no data,44.13,145.17
1329,415,Shishaldin,United States,no data,2857,Stratovolcano,no data,54.76,-163.97
1331,416,Sinarka,Russia,no data,934,Stratovolcano,no data,48.88,154.18
1333,417,Smirnov,Russia,no data,1189,Stratovolcano,no data,44.42,146.14
1335,418,Sollipulli,Chile,no data,2282,Caldera,no data,-38.97,-71.52
1341,421,Soufri?re Hills,United Kingdom,no data,915,Stratovolcano,no data,16.72,-62.18
1343,422,Soufri?re St. Vincent,St. Vincent,no data,1220,Stratovolcano,no data,13.33,-61.18
1345,423,South Island,Kenya,no data,800,no data,no data,2.63,36.60
1347,424,SP Mountain,United States,no data,2141,Cinder Cone,no data,35.60,-111.60
1349,425,Spurr,United States,no data,3374,Stratovolcano,no data,61.30,-152.25
1351,426,Srednii,Russia,no data,36,Submarine,no data,47.60,152.92
1353,427,Steller,United States,no data,2272,Stratovolcano,no data,58.40,-154.40
1355,428,Stromboli,Italy,no data,924,Stratovolcano,no data,38.79,15.21
1357,429,Sumaco,Ecuador,no data,3990,Stratovolcano,no data,-0.54,-77.63
1359,430,Sumbing,Indonesia,no data,3371,Stratovolcano,no data,-7.38,110.07
1361,431,Sundoro,Indonesia,no data,3136,Stratovolcano,no data,-7.30,109.99
1363,432,Sunset Craters,United States,no data,2447,Cinder Cone,no data,35.37,-111.50
1365,433,Suswa,Kenya,no data,2356,Shield,no data,-1.18,36.35
1367,434,Suwanose-jima,Japan,no data,799,Stratovolcano,no data,29.64,129.72
1369,435,Taal,Philippines,no data,311,Caldera,no data,14.00,120.99
1371,436,Talang,Indonesia,no data,2597,Stratovolcano,no data,-0.98,100.68
1373,437,Tambora,Indonesia,no data,2850,Stratovolcano,no data,-8.25,118.00
1375,438,Tanaga and Takawangha,United States,no data,1806,Stratovolcano,no data,51.89,-178.15
1377,439,Tangkubanparahu,Indonesia,no data,2084,Stratovolcano,no data,-6.77,107.60
1379,440,Tao-Rusyr Caldera,Russia,no data,1325,Stratovolcano,no data,49.35,154.70
1381,441,Tarso Voon,Chad,no data,3100,Stratovolcano,no data,20.92,17.28
1383,442,Telica Volcano,Nicaragua,no data,1010,Stratovolcano,no data,12.60,-86.85
1385,443,Tenerife,Spain,no data,3715,Stratovolcano,no data,28.27,-16.64
1387,444,Tengger Caldera and Bromo,Indonesia,no data,2329,Stratovolcano,no data,-7.94,112.95
1389,445,Three Fingered Jack,United States,no data,2390,Stratovolcano,no data,44.50,-121.80
1393,447,Thule Islands,United Kingdom,no data,1075,Stratovolcano,no data,-59.45,-27.37
1395,448,Tiatia,Russia,no data,1819,Stratovolcano,no data,44.35,146.26
1397,449,Toba,Indonesia,no data,2157,Caldera,no data,2.58,98.83
1401,451,Tokachi,Japan,no data,2077,no data,no data,43.42,142.69
1403,452,Tolbachik,Russia,no data,3682,Stratovolcano,no data,55.83,160.33
